drink_date,brand,tea_name,flavor
2025-05-07,Teekanne,Lemon & Ginger,
2025-05-08,MAXI,Kamilica,
2025-05-20,Welton,Camomile,
2025-05-22,Welton,Camomile,
2025-08-26,Teekanne,Lemon & Ginger,
2025-09-11,Mad Hatter (Čarolija),Flower Magic,
2025-09-17,Fructus (Loft),Nana,
2025-09-18,dmBio,Guten Abend Tee,
2025-09-28,Fructus (Libero),Jabuka sa cimetom,
2025-10-02,dmBio,Wintertee,Apple, rooibos, cinnamon, clove
2025-10-03,Macval,Šumsko voće,
2025-10-04,Herbella,Zeleni čaj,
2025-10-09,Ronnefeldt (Šećer & Soul),Leaf Cup Green Dragon Lung Ching,
2025-10-10,Teatime,Nana,
2025-10-14,Herbella,Nana,
2025-10-16,Teatime,Nana,
2025-10-19,Herbella,Kamilica,
2025-10-20,Shoti Maa,Emotional Clarity,Hibiscus, Mint, Licorice
2025-10-22,Teatime,Nana,
2025-10-24,Milford,Peppermint,
2025-10-26,Milford,Blackberry-Raspberry,
2025-10-28,Herbella,Kamilica,
2025-10-28,Macval,Šumsko voće,
2025-10-29,Teatime,Nana,
2025-11-06,Teatime,Nana,
2025-11-09,Teaya,Entdecke 3 Exklusive Bio Tees (India),Licorice, Tulsi
2025-11-11,Teaya,Probiere 4 Inspirierende Bio Tees (Kanada),Blueberry, Maple Syrup
2025-11-12,Teaya,Probiere 4 Inspirierende Bio Tees (Neuseeland),Lemon Myrtle, Manuka Honey
2025-11-12,Teaya,Japan,Ginger, Yuzu
2025-11-13,Teatime,Nana,
2025-11-14,Teatime,Nana,
2025-11-15,dmBio,Wintertee,
2025-11-16,Ahmad Tea,Sleep,
2025-11-18,Milford (Kocka),Peppermint,
2025-11-20,Fructus,Fructus Exclusive Pomorandža sa đumbirom,Hibiscus, Orange, Ginger
2025-11-21,Teatime,Nana,
2025-11-22,Teaya,Entdecke 3 Exklusive Bio Tees (Madagaskar),Bourbon Vanilla, Tonka
2025-11-23,Teaya,Entdecke 3 Exklusive Bio Tees (Mexiko),Sweet Orange, Chili
2025-11-25,Institut Dr Josif Pančić,Gastro Mix,St. John's Wort, Camomile, Mint, Licorice
2025-12-02,Ronnefeldt (Moskva),Leaf Cup Rooibos Cream Orange,
2025-12-05,Teatime,Nana,
2025-12-07,Milford (Brunch),Strawberry-Yoghurt,
2025-12-12,Loft,Brusnica,
2025-12-15,Teekanne,Lemon & Ginger,
2025-12-17,dmBio,Wintertee,
2025-12-17,Shoti Maa,Emotional Clarity,
2025-12-18,Fructus,Fructus Exclusive Jagoda sa vanilom,
2025-12-19,Teatime,Nana,
2025-12-19,Fructus,Fructus Exclusive Jagoda sa vanilom,
2025-12-19,Fructus,Fructus Exclusive Đumbir sa limunom,
2025-12-24,Ukusi moga kraja,List koprive,
2025-12-24,Fructus,Kamilica,
2025-12-25,Teekanne,Forest fruits,
2025-12-26,Fructus,Kamilica,
2025-12-29,Milford (Kocka),Pfefferminze,
2025-12-30,dmBio,Wintertee,
